S.No,MP Code,Member Name,Party,State,Position No.,Period,Position Held
10,2588,Shri Yerram Venkata Subba Reddy,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,4,Sept. 2024 onwards,"Member, Committee on Finance"
10,2588,Shri Yerram Venkata Subba Reddy,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,5,April 2024,Elected to Rajya Sabha
10,2588,Shri Yerram Venkata Subba Reddy,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,6,2019-2021 and 2021-2023,"Chairman, Tirumala Tirupati Devasthanams (Cabinet rank) (two terms)"
10,2588,Shri Yerram Venkata Subba Reddy,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,7,,"Member, Committee on Estimates"
10,2588,Shri Yerram Venkata Subba Reddy,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,8,,"Member, Consultative Committee for the Ministry of Finance and Corporate Affairs"
10,2588,Shri Yerram Venkata Subba Reddy,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,9,May 2017 - June 2018,"Member, Committee on Member of Parliament Local Area Development Schemes"
10,2588,Shri Yerram Venkata Subba Reddy,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,10,,"Member, Committee on Private Members` Bills and Resolutions"
10,2588,Shri Yerram Venkata Subba Reddy,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,11,Sept. 2014 - June 2018,"Member, Committee on Industry"
10,2588,Shri Yerram Venkata Subba Reddy,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,12,2014-2018,"Member, Sixteenth Lok Sabha (resigned w.e.f. 20 June 2018)"
11,2643,Shri Paka Venkata Satyanarayana,Bharatiya Janata Party,Andhra Pradesh,1,Feb. 2026 onwards,"Member, India- Madagascar Parliamentary Friendship Group"
11,2643,Shri Paka Venkata Satyanarayana,Bharatiya Janata Party,Andhra Pradesh,2,Aug. 2025 onwards,"Member, Committee on Science and Technology, Environment, Forests and Climate Change"
11,2643,Shri Paka Venkata Satyanarayana,Bharatiya Janata Party,Andhra Pradesh,3,July 2025 onwards,"Member, Consultative Committee for the Ministry of Consumer Affairs, Food and Public Distribution"
11,2643,Shri Paka Venkata Satyanarayana,Bharatiya Janata Party,Andhra Pradesh,4,May 2025,Elected to Rajya Sabha
